retailer,license,city,region,status,confirmed,pipeline_code,pipeline_label,completeness_score,price_tier,last_contacted,has_email,has_phone,has_pricing,has_buyer_name,is_duplicate
OLD TOBY,413551,Chehalis,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
OLYMPIA WEED COMPANY,427769,Olympia,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
ONE HIT WONDER CANNABIS,422466,Port Townsend,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
ORCHARDS CANNABIS MARKET,83380,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),5,standard,,Yes,Yes,Yes,Yes,No
ORIGINS,425507,Redmond,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-02-21,Yes,No,No,No,No
ORIGINS CANNABIS,437401,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,3,unknown,2025-02-21,Yes,No,No,No,No
OUNCE KING CANNABIS,414573,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
OZ,415348,Seattle,Seattle Metro,(blank),false,I4,I4 - Unconfirmed but samples sent,1,unknown,,No,No,No,No,No
PAPER AND LEAF,414812,Bainbridge Island,Peninsula/Islands,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
PEND OREILLE CANNABIS CO,76189,Ione,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
PEND OREILLE CANNABIS CO.,433404,Newport,Other/Unclassified,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
PIECE OF MIND CANNABIS,421616,Bellingham,NW Washington,(blank),true,I2,I2 - Contacted/has notes,3,unknown,,Yes,No,No,Yes,No
POM CANNABIS PULLMAN,417114,Pullman,Eastern WA,(blank),false,I2,"I2 - Unconfirmed, some contact",5,premium,,Yes,Yes,Yes,Yes,No
POT SHOP,079013,Seattle,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
POT ZONE,415229,Port Orchard,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
POT ZONE OF VANCOUVER,361259,Vancouver,SW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
PRC,421084,Arlington,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-17,Yes,Yes,Yes,Yes,No
PRC,414574,Mount Vernon,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-17,Yes,Yes,Yes,Yes,No
PRC Edmonds,415198,Edmonds,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-17,Yes,Yes,Yes,Yes,No
PRC BOTHELL,415222,Bothell,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-17,Yes,Yes,Yes,Yes,No
PRIMO CANNABIS,423885,Otis Orchards,Other/Unclassified,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
RAINIER CANNABIS,423224,Mountlake Terrace,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Redmond Leaf Avondale,430424,Redmond,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,No,Yes,Yes,No
Redmond Leaf,415486,Redmond,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,No,Yes,Yes,No
Reefer Den,404933,Port Townsend,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Remedy Tulalip - Tribal,,Marysville,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-06-25,Yes,Yes,Yes,No,No
ROSLYN HERBS,414460,Roslyn,Central WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
ROYAL'S CANNABIS,415132,Spokane,Eastern WA,not sure if they exsist,true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
RUCKUS RECREATIONAL CANNABIS -Capital Hill,413692,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,4,premium,2025-02-25,Yes,No,Yes,Yes,No
RUCKUS RECREATIONAL CANNABIS - fremont,414088,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,5,premium,2025-03-07,Yes,Yes,Yes,Yes,No
SAGE SHOP,426888,Omak,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
Salish Coast Cannabis - Tribal,427232,Anacortes,NW Washington,(blank),false,I2,"I2 - Unconfirmed, some contact",5,premium,2025-02-24,No,Yes,Yes,Yes,No
SAPPHIRE CANNABIS,422701,Sprague,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
SASHA'S CANNABIS,430798,Shelton,South Sound,(blank),true,I4,I4 - Samples sent,7,standard,2025-03-06,Yes,Yes,Yes,Yes,No
SATIVA SISTERS,413739,Spokane,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,3,unknown,2025-02-21,Yes,No,No,No,No
SATIVA SISTERS II,422764,Clarkston,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),4,unknown,2025-06-30,Yes,Yes,No,No,No
SAVAGE THC,428107,Clayton,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),3,premium,2025-06-30,Yes,No,Yes,No,No
SEA CHANGE CANNABIS,432024,Port Hadlock,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SEATTLE CANNABIS CO.,426199,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SEATTLE TONICS,414731,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-03-19,Yes,Yes,Yes,Yes,No
Seattle Trees Collective,413519,Seattle,Seattle Metro,(blank),false,I4,I4 - Unconfirmed but samples sent,1,unknown,,No,No,No,No,No
SEAWEED RETAIL,422570,Edmonds,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SECRET HERB SHOP,413994,Kettle Falls,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
SHAWN KEMP'S CANNABIS,429502,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-02-22,Yes,No,Yes,Yes,No
SHAWN KEMP'S CANNABIS SODO,434189,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,unknown,2025-02-22,Yes,No,Yes,Yes,No
SHELTON CANNABIS CO,415183,Shelton,South Sound,(blank),true,I4,I4 - Samples sent,6,standard,2025-05-21,Yes,Yes,Yes,Yes,No
SHELTON CANNABIS COMPANY,426677,Shelton,South Sound,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,2025-02-14,No,No,No,No,No
THE SLOW BURN Moxee,415185,Moxee,Other/Unclassified,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-27,Yes,Yes,Yes,Yes,No
THE SLOW BURN Main st,413773,Union Gap,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-27,Yes,Yes,Yes,Yes,No
THE SLOW BURN Market St,414470,Union Gap,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-27,Yes,Yes,Yes,Yes,No
SLOW BURN Yakima,414508,Yakima,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-05-27,Yes,Yes,Yes,Yes,No
SMOKANE,425362,Spokane,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,3,unknown,,Yes,No,No,Yes,No
SMOKING CROW,437560,Bellingham,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SMUGGLER BROTHERS,413762,Sedro Woolley,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,1,premium,,No,No,Yes,No,No
SOUTH BELLINGHAM BUDS,422930,Bellingham,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SPARKET,86823,Port Angeles,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SPOKANE GREEN LEAF,422146,Spokane,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",3,premium,,Yes,No,Yes,Yes,No
SPOONER ENTERPRISES,435751,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
STAR BUDS Queen Anne,436867,Seattle,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-02-10,Yes,Yes,Yes,Yes,No
STAR OUTLET,422010,Lynden,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
STARBUDS,429453,Bellingham,NW Washington,(blank),false,I4,I4 - Unconfirmed but samples sent,2,unknown,,No,No,No,Yes,No
Station 420,426284,Union Gap,Eastern WA,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,,No,No,No,No,No
STICKY'S,421326,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-02-07,Yes,Yes,Yes,Yes,No
SWEET JANE,423829,Gig Harbor,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SWEET LEAF CANNABIS CO,415523,Aberdeen,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
SWEET RELEAF,413385,Mount Vernon,NW Washington,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-02-17,Yes,Yes,Yes,Yes,No
The Link Cannabis Company (Sweet Relief Port Angeles),422460,Port Angeles,Peninsula/Islands,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,2025-03-14,No,No,No,No,No
T BROTHERS BUD LODGE - Only use Lifted Delivery Service,414002,Lacey,South Sound,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-04-08,Yes,Yes,Yes,Yes,No
Tacoma house of Cannabis,424473,Tacoma,South Sound,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,,No,No,No,No,No
TENINO CANNABIS BOUTIQUE,415484,Tenino,South Sound,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-05-29,Yes,Yes,Yes,Yes,No
TERP CANNABIS,426632,Nine Mile Falls,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THC OF OLYMPIA,421069,Olympia,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE BAKE SHOP,424877,George,Central WA,(blank),true,I2,I2 - Contacted/has notes,4,standard,2025-06-09,Yes,No,Yes,Yes,No
THE BAKE SHOP,413426,Prosser,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,standard,2025-06-09,Yes,Yes,Yes,Yes,No
THE BAKE SHOP,413596,Union Gap,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-06-09,Yes,Yes,Yes,Yes,No
THE BAKEREE,414456,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-22,Yes,No,No,Yes,No
THE BAKEREE,433373,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-22,Yes,No,No,Yes,No
THE FIRE HOUSE,400772,Ellensburg,Central WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,No,No,Yes,No
THE GALLERY - GIG HARBOR,436145,Gig Harbor,South Sound,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-05-23,Yes,Yes,Yes,Yes,No
THE GALLERY CANYON,413813,Puyallup,South Sound,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-05-23,Yes,Yes,Yes,Yes,No
THE GALLERY FIFE,413812,Fife,Other/Unclassified,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-05-23,Yes,Yes,Yes,Yes,No
THE GALLERY PARKLAND,413258,Tacoma,South Sound,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-05-23,Yes,Yes,Yes,Yes,No
THE GALLERY SPANAWAY,413420,Spanaway,South Sound,(blank),true,I5,I5 - Near order / has ordered,7,premium,2025-05-23,Yes,Yes,Yes,Yes,No
THE GREEN DOOR,434938,Buckley,South Sound,Do not sell to them,false,R5,R5 - Do Not Sell,3,premium,,No,No,Yes,Yes,No
THE GREEN DOOR SEATTLE,414425,Seattle,Seattle Metro,Prospects,true,I4,"I4 - Prospect, samples sent",6,premium,2025-02-26,Yes,Yes,Yes,Yes,No
The Green house,430622,Renton,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE GREEN NUGGET,414995,Pullman,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,5,premium,2025-02-25,Yes,No,Yes,Yes,No
THE GREEN NUGGET,427121,Spokane,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,5,premium,2025-02-25,Yes,No,Yes,Yes,No
THE GREEN SEED,086054,Moses Lake,Central WA,(blank),false,I2,"I2 - Unconfirmed, some contact",1,unknown,,No,No,No,No,No
THE GREEN SHELF,414958,Ellensburg,Central WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,,Yes,Yes,No,Yes,No
THE HAPPY CROP SHOPPE,413600,Cashmere,Central WA,(blank),true,I2,I2 - Contacted/has notes,6,premium,2025-02-25,Yes,Yes,Yes,Yes,No
THE HAPPY CROP SHOPPE,413481,East Wenatchee,Central WA,(blank),true,I2,I2 - Contacted/has notes,6,premium,2025-02-25,Yes,Yes,Yes,Yes,No
THE HAPPY CROP SHOPPE,420934,Wenatchee,Central WA,(blank),true,I2,I2 - Contacted/has notes,5,premium,2025-02-25,Yes,Yes,Yes,No,No
THE HERBAL GARDENS,423634,Tacoma,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE HERBERY - Chakalov,71368,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-19,Yes,Yes,Yes,No,No
THE HERBERY - BLVD,414761,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-05-19,Yes,Yes,Yes,No,No
THE HERBERY - St John,426563,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-05-19,Yes,Yes,Yes,No,No
THE HERBERY - 78th (H4),428826,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-05-19,Yes,Yes,Yes,No,No
THE HERBERY -4th,430925,Vancouver,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-05-19,Yes,Yes,Yes,No,No
THE HIDDEN BUSH,412921,Port Angeles,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE JOINT,420389,Burien,Seattle Metro,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,2025-10-10,No,No,No,No,No
THE JOINT,414893,Everett,Seattle Metro,(blank),true,I3,I3 - Active dialogue/meeting,6,premium,2025-10-10,Yes,Yes,Yes,No,No
THE JOINT,434494,Tacoma,South Sound,(blank),false,I2,"I2 - Unconfirmed, some contact",3,unknown,2025-10-10,No,No,No,Yes,No
THE JOINT,421804,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-10-10,Yes,Yes,Yes,Yes,No
THE KUSHERY Cathcart,415507,Everett,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-22,Yes,Yes,Yes,Yes,No
THE KUSHERY Evergreen way Dealership,430774,Everett,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-22,Yes,Yes,Yes,Yes,No
THE KUSHERY LFP,415513,Lake Forest Park,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-22,Yes,Yes,Yes,Yes,No
THE KUSHERY Monroe,361676,Snohomish,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-22,Yes,Yes,Yes,Yes,No
THE KUSHERY Clearview,437800,Snohomish,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-22,Yes,Yes,Yes,Yes,No
THE KUSHERY Stanwood,420645,Stanwood,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,standard,2025-09-22,Yes,Yes,Yes,Yes,No
THE LINK,422632,Longview,SW Washington,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,2025-02-22,No,No,No,No,No
LUCKY LEAF CO,435675,Pasco,Eastern WA,(blank),false,I2,"I2 - Unconfirmed, some contact",2,unknown,2025-02-24,No,No,No,No,No
THE LUCKY LEAF,435362,Pasco,Eastern WA,(blank),true,I4,I4 - Samples sent,4,unknown,2025-02-24,Yes,No,No,Yes,No
THE MARIJUANA MERCANTILE,415216,Granite Falls,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-04-02,Yes,Yes,Yes,Yes,No
THE NOVEL TREE,414983,Bellevue,Seattle Metro,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
THE NOVEL TREE,434843,Bremerton,Peninsula/Islands,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
Clear Mind Cannabis (THE PACIFIC OUTPOST),434994,Pasco,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),3,premium,,Yes,No,Yes,No,No
The Pot Shop Bellingham,430084,Bellingham,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE REEF,413870,Bremerton,Peninsula/Islands,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-20,Yes,No,No,Yes,No
THE REEF,426562,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-20,Yes,No,No,Yes,No
THE REEF,432849,Seattle,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-20,Yes,No,No,Yes,No
THE ROOT CELLAR,415343,Belfair,Other/Unclassified,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
"THE SAGE SHOP, LLC",430775,Oroville,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE STASH BOX,412494,Auburn,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,3,unknown,2025-02-20,Yes,No,No,Yes,No
THE STATION NW LL/TRADE- THE STATION,422944,Ellensburg,Central WA,(blank),true,I1,"I1 - Confirmed, cold lead",1,unknown,,Yes,No,No,No,No
The Tribal Joint - Tribal,430795,Darrington,NW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-02-27,Yes,Yes,Yes,Yes,No
THE TOP SHELF,414716,Airway Heights,Eastern WA,Active,false,R2,R2 - Active but stale (>90 days),3,premium,2025-04-03,Yes,No,Yes,No,No
THE VAULT Seattle (HerbN Elements),413570,Seattle,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-11,Yes,Yes,Yes,Yes,No
THE VAULT Spokane,426050,Spokane,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-11,Yes,Yes,Yes,Yes,No
THE VAULT CANNABIS Lake Stevens,414829,Lake Stevens,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-11,Yes,Yes,Yes,Yes,No
THE VAULT CANNABIS Silvana,88920,Stanwood,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-02-11,Yes,Yes,Yes,Yes,No
THE WEST SEATTLE MARIJUANA STORE,414868,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE WORLD FAMOUS CANNABIS STORE,421918,Chimacum,Other/Unclassified,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
THE ZEN DEN,420812,Omak,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,premium,,Yes,No,Yes,No,No
THEOREM CANNABIS,433824,Kenmore,Seattle Metro,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-02-20,Yes,Yes,No,Yes,No
Thunder Cannabis Rochester,,Rochester,Other/Unclassified,(blank),true,I2,I2 - Contacted/has notes,5,premium,2025-02-20,Yes,No,Yes,Yes,No
"TJ'S CANNABIS BUDS, EDIBLES, OILS & MORE",433175,Shelton,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-02-14,Yes,Yes,Yes,Yes,No
Tokeland,433417,Tokeland,Peninsula/Islands,(blank),true,I2,I2 - Contacted/has notes,6,premium,2025-02-12,Yes,Yes,Yes,Yes,No
Token Herb,400209,Eastsound,NW Washington,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
TOKER FRIENDLY,417486,Airway Heights,Eastern WA,Prospect,true,I4,"I4 - Prospect, samples sent",5,unknown,2025-03-04,Yes,Yes,No,Yes,No
TOP SHELF 420,413782,Olympia,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
TREEHOUSE CLUB,413369,Spokane Valley,Eastern WA,(blank),true,I1,"I1 - Confirmed, cold lead",2,premium,,Yes,No,Yes,No,No
TRIPPY HIPPIE CANNABIS CO.,413529,Bellingham,NW Washington,(blank),true,I2,I2 - Contacted/has notes,4,premium,,Yes,No,Yes,Yes,No
TROVE MEDICAL AND RECREATIONAL,414871,Bellingham,NW Washington,(blank),true,I1,"I1 - Confirmed, cold lead",3,premium,,Yes,No,Yes,Yes,No
TRU GREENTHUMB,407950,Castle Rock,SW Washington,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-05-27,Yes,Yes,Yes,Yes,No
UNCLE ANDO'S WURLD OF WEED,415045,Centralia,South Sound,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-10-10,Yes,Yes,Yes,Yes,No
UNCLE IKE'S Olive way,413996,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-13,Yes,No,No,Yes,No
UNCLE IKE'S,414533,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-13,Yes,No,No,Yes,No
UNCLE IKE'S,421141,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-13,Yes,No,No,Yes,No
UNCLE IKE'S white Center,421514,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-13,Yes,No,No,Yes,No
UNCLE IKE'S - Lake City Way,433474,Seattle,Seattle Metro,(blank),true,I4,I4 - Samples sent,5,unknown,2025-10-13,Yes,No,No,Yes,No
UNCLE WILLIE'S CANNABIS,431706,Kelso,SW Washington,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-05-27,Yes,Yes,Yes,Yes,No
VIBE CANNABIS CO.,434798,Kelso,SW Washington,(blank),true,I1,"I1 - Confirmed, cold lead",2,unknown,,Yes,No,No,Yes,No
W.C.W. ENTERPRISES,415445,Everson,NW Washington,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
WALLA WALLA CANNABIS COMPANY,415641,Walla Walla,Eastern WA,(blank),false,I1,I1 - Unconfirmed cold lead,1,premium,,No,No,Yes,No,No
WALLA WALLA WEEDERY,434392,Walla Walla,Eastern WA,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-06-10,Yes,Yes,Yes,Yes,No
"WASHINGTON O G, LLC",431327,Seattle,Seattle Metro,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
WESTERN BUD,426849,Anacortes,NW Washington,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-02-21,Yes,Yes,Yes,Yes,No
WESTERN BUD,421707,Bellingham,NW Washington,(blank),true,I2,I2 - Contacted/has notes,4,premium,2025-02-21,Yes,No,Yes,Yes,No
WESTERN BUD,422037,Burlington,NW Washington,(blank),true,I2,I2 - Contacted/has notes,4,premium,2025-02-21,Yes,No,Yes,Yes,No
WESTSIDE420 RECREATIONAL,412466,Longview,SW Washington,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-05-20,Yes,Yes,Yes,Yes,No
WHIDBEY RETAIL GROUP,423993,Freeland,NW Washington,(blank),true,I1,"I1 - Confirmed, cold lead",3,unknown,,Yes,Yes,No,Yes,No
WHITE RABBIT RETAIL,414398,Lynnwood,Seattle Metro,(blank),true,I5,I5 - Near order / has ordered,4,unknown,2025-02-25,Yes,No,No,Yes,No
WORLD OF WEED,414449,Tacoma,South Sound,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
YAKIMA WEED CO North,353928,Yakima,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-02-28,Yes,Yes,Yes,Yes,No
YAKIMA WEED CO South,430876,Union Gap,Eastern WA,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-02-28,Yes,Yes,Yes,Yes,No
ZIA RECREATIONAL,415488,Hoquiam,Peninsula/Islands,(blank),false,I1,I1 - Unconfirmed cold lead,0,unknown,,No,No,No,No,No
Zips Everett (BLOOM) - Pretty sure they are Kush 21 now,350766,Everett,Seattle Metro,Active,false,R2,R2 - Active but stale (>90 days),7,standard,2025-03-10,Yes,Yes,Yes,Yes,No
Zips Hwy 512 (BLOOM),414103,Tacoma,South Sound,Active,false,R2,R2 - Active but stale (>90 days),7,standard,2025-02-06,Yes,Yes,Yes,Yes,No
ZIPS CANNABIS Downtown,358302,Tacoma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-02-06,Yes,Yes,Yes,Yes,No
ZIPS CANNABIS 6th,362816,Tacoma,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-02-06,Yes,Yes,Yes,Yes,No
Zips Puyallup 176th,437888,Puyallup,South Sound,Active,true,R2,R2 - Active but stale (>90 days),7,standard,2025-03-25,Yes,Yes,Yes,Yes,No